index,count
Former Rite Aid,71
Former Tuesday Morning,62
Former Sears,53
Former Bed Bath   Beyond,47
Former CVS,42
Former Bed Bath and Beyond,25
Former Party City,23
Former Rue 21,21
Former Big Lots,20
Former Dress Barn,14
Former Bealls,14
Former 99 Cent Only,13
Former Buy Buy Baby,13
Former Toys R Us,13
Former 99 Cents Only,11
Former Kmart,10
Former Office Depot,10
Former Express,10
Former Family Dollar,10
Former Pier One,9
Former Pier 1,9
Former JC Penney,8
Former Old Navy,8
Former Steinmart,8
Former Staples,8
Former Office Max,8
Former Macys,8
Former Sam Ash,8
Former Michaels,8
Former Davids Bridal,8
Former Petco,7
Former Christmas Tree Shops,7
Former Marshalls,6
Former Burlington,6
Former Pier 1 Imports,5
Former Aarons,5
Former H M,5
Former Dollar Tree,5
Former Dicks Sporting Goods,5
Former 99 Cent Store,4
Former Forever 21,4
Former Best Buy,4
Former Gordmans,4
Former Fashion Bug,4
Former Bed Bath Beyond,4
Former Nike,4
Former Kirklands,4
Former Joanns,3
Former DSW Shoes,3
Former Dollar General,3
Former Carsons,3
Former Goodwill,3
Former Five Below,3
Former Stein Mart,3
Former DSW,3
Former Burkes Outlet,3
Former Salvation Army,3
Former Charming Charlies,3
Former Shopko,3
Former Ulta,3
Former Home Goods,3
Former Herbergers,3
Former Albertsons,3
Former 24 Hour Fitness,3
Former Sports Authority,3
Former Ace Hardware,3
Former Rainbow,2
Former Party Depot,2
Former Sam Ash Music Store,2
Former BBB,2
Former Gap,2
Former Grocery Outlet,2
Former Save A Lot,2
Former Sleepys,2
Former Advance Auto,2
Former Kohls,2
Former Performance Bicycle,2
Former K-Mart,2
Former Namco,2
Former Bealls Outlet,2
Former Price Rite,2
Former Bonton,2
Former Mattress Firm,2
Former Gander Mountain,2
Former Loehmanns,2
Former Barnes   Noble,2
Former TJ Maxx,2
Former Bed Bath And Beyond,2
Former Smart   Final,2
Former Boot Barn,2
Former Jennifer Furniture,2
Former Petsmart,2
Former Famous Footwear,2
Former Fallas,2
Former Bartell Drugs,2
Former Annas Linens,2
Former Walgreens,2
Former MC Sports,2
Former Charming Charlie,2
Former Burlington Coat Factory,2
Former Crunch Fitness,2
Former JcPennys,2
Former Abercrombie,2
Former American Freight,2
Former JCPenney,2
Former Planet Fitness,2
Former Furniture Store,2
Former RUE21,2
Former JC Penneys,2
Former TJMaxx,2
Former Victorias Secret,2
Former Natural Grocers,2
Former Sears Hometown,2
Former Half Price Books,2
Former JcPenney,2
Former Rack Room,2
Former Big 5,2
Former Lazy Boy Furniture,1
Former Divers Unlimited,1
Former DDs Discounts,1
Former Pep Boys,1
Former Just Furniture,1
Former Pasadena Art Alliance,1
Former Stitching Post,1
Former Tillys,1
Former Harmon Face Values,1
Former Hollywood Video,1
Former Towne Book Center,1
Former Rock Thrift,1
Former Restore Habitat for Humanity,1
Former Mandees,1
Former Arcade,1
Former ULTA,1
Former Blink Gym by Dining Car,1
Former Tower Records,1
Former Romantic Kingdom,1
Former Orleans Furniture,1
Former Younkers,1
Former Canyon Club,1
Former Lamps Plus,1
Former Annas Linen,1
Former Factory 2U,1
Former Sit and Sleep,1
Former Orchard Supply,1
Formerly Known as College Square next to Raising C,1
Former Esporta,1
Former Party Fair,1
Former Rite Aid at 10th   Market,1
Former WDC,1
Former Santos Boxing,1
Former Carsons Furniture,1
Former In Shape Gym,1
Former Royal Bank,1
Former Cort Furniture,1
Former Advanced Auto,1
Former Monkey Joes,1
Former Bonton Home,1
Former Stickleys,1
Former Gander Outdoor,1
Former Peavy Mart,1
Former Great Outdoors,1
Former BiLo,1
Former OReilly Auto,1
Former Orvis Clothing,1
Upper Floor of Former Lord and Taylor,1
Former Dots,1
Former Partytime,1
Former Danker Furniture,1
Former Boscov,1
Former Goode Deals,1
Former Joann,1
Former Restoration Hardware,1
Former Thrifty Shopper,1
Former Nordstrom Rack,1
Former Rona,1
Former Dollar Store,1
Former Cali Furniture,1
Former Overstocked,1
Former Just Cabinets,1
Former Team Tom,1
Former Aaron Brothers,1
Former FabricLand Store,1
Former American Furniture,1
Former Alin Party Supply,1
Former PA Fitness,1
Former Gap Gap Kids,1
Former Charlotte Russe,1
Former La Sandla,1
Former Modells Sporting Goods,1
Former Food Lion,1
Former Harmon,1
Former Rooms To Go,1
Former American Signature Furniture,1
Former Foot Locker,1
Former Adidas,1
Former JoAnns Fabric,1
Former Goodys,1
Former Job Lot,1
Former Savers,1
Former Chuck E.Cheese,1
Former NW Hobbies,1
Former 99 Cent Only Stores,1
Former Fitness 19,1
Former Rife Furniture,1
Former Habitat For Humanity,1
Former RH Outlet Furniture,1
Former Kellie Moore Paint,1
Former Big Box Outlet Store,1
Former International Trucks,1
Former 24 HR Fitness,1
Former US Bank,1
Former Dicks,1
Former Liquidation Direct Florida,1
Former Independent Grocers,1
Former BFresh,1
Former Old Navy Outlet,1
